Designator,Footprint,Quantity,Value,LCSC Part #
,f59ac847-f748-4106-ba1d-d1278d51b1ea,1,,
"C1, C15, C2, C4, C5",0805,5,10uF,
"C10, C8, C9",0805,3,10nF,
"C11, C12, C13, C14, C16, C6, C7",0805,7,100nF,
"C17, C3",0805,2,1uF,
D1,0805,1,RLED,
D2,0805,1,GLED,
J2,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det1,
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,BATTERY_CONNECTOR,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Debug_pins,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Coincell_BAT,
P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Plug_USB2.0,
R1,0805,1,5.1KR,
"R10, R11, R14, R15, R5, R6, R7, R8, R9",0805,9,10KR,
"R12, R13",0805,2,4.7kR,
R2,0805,1,1.2KR,
"R3, R4",0805,2,1kR,
RTC ,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
"SW1, SW2",SW_SPST_SKQG_WithStem,2,SW_Push,
U-BLOX NEO-M8N,PinHeader_1x04_P2.54mm_Vertical,1,u-blox NEO-M8N,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,LFCSP-16-3X3,1,ADXL377,
U3,WLCSP-12_1.56x1.56mm_P0.4mm,1,BMM150,
U5,XDCR_BMI270,1,BMI270,
U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
U7,SOT-23-5,1,ME6211C10M5,
