Designator,Mid X,Mid Y,Rotation,Layer
,162.935889,-124.245503,0.0,bottom
C1,229.55,-103.0,180.0,top
C10,200.26,-127.98,270.0,top
C11,156.223319,-91.591465,270.0,top
C12,181.5,-130.0,0.0,top
C13,178.794188,-129.306947,90.0,top
C14,212.848069,-128.226091,270.0,top
C15,182.809423,-78.895572,270.0,top
C16,184.814283,-78.875218,270.0,top
C17,172.293444,-81.22727,90.0,top
C2,229.55,-110.5,180.0,top
C3,226.0,-103.0,0.0,top
C4,221.0,-109.0,270.0,top
C5,173.244566,-106.785782,90.0,top
C6,171.276817,-106.801167,90.0,top
C7,197.343853,-130.664442,180.0,top
C8,194.603726,-127.90826,270.0,top
C9,197.383129,-125.253902,0.0,top
D1,229.5625,-101.04,180.0,top
D2,229.5625,-99.08,180.0,top
J2,160.965,-108.5,270.0,top
J3,238.05,-93.0,270.0,top
J4,218.730478,-79.860412,0.0,top
J5,172.385315,-95.212986,270.0,top
P1,238.95,-105.18,90.0,top
R1,232.5,-108.0925,90.0,top
R10,180.465243,-114.76937,270.0,top
R11,182.41419,-114.767717,270.0,top
R12,168.92,-87.29,180.0,top
R13,170.1,-90.0175,270.0,top
R14,183.499439,-81.555287,0.0,top
R15,206.39571,-79.30154,90.0,top
R2,223.0,-109.0,270.0,top
R3,226.0,-101.0,0.0,top
R4,226.0375,-99.08,0.0,top
R5,178.534221,-114.792257,270.0,top
R6,176.639188,-114.771894,270.0,top
R7,174.682546,-114.766249,270.0,top
R8,172.734176,-114.775202,270.0,top
R9,170.78874,-114.78141,270.0,top
RTC ,163.151786,-93.380012,270.0,top
SW1,177.531686,-80.060926,0.0,top
SW2,211.655,-79.65,0.0,top
U-BLOX NEO-M8N,227.5,-90.31,0.0,top
U1,195.555,-83.0,0.0,top
U2,197.322733,-127.921793,270.0,top
U3,214.864061,-127.676253,0.0,top
U5,181.522813,-127.487868,0.0,top
U6,227.8,-106.8,270.0,top
U7,222.05,-105.1375,90.0,top
